date;close;open;high;low
31/12/1991;100;;;
01/01/1992;100;;;
02/01/1992;98.66;;;
03/01/1992;98.94;;;
06/01/1992;100.27;;;
07/01/1992;100.94;;;
08/01/1992;101.44;;;
09/01/1992;102.47;;;
10/01/1992;101.62;;;
13/01/1992;101.83;;;
14/01/1992;102.73;;;
15/01/1992;104.44;;;
16/01/1992;104.85;;;
17/01/1992;104.63;;;
20/01/1992;102.96;;;
21/01/1992;100.68;;;
22/01/1992;102.46;;;
23/01/1992;103.12;;;
24/01/1992;102.93;;;
27/01/1992;102.73;;;
28/01/1992;103.18;;;
29/01/1992;103.64;;;
30/01/1992;104.03;;;
31/01/1992;103.78;;;
03/02/1992;103.65;;;
04/02/1992;103.74;;;
05/02/1992;103.72;;;
06/02/1992;104.49;;;
07/02/1992;103.65;;;
10/02/1992;103.11;;;
11/02/1992;103.32;;;
12/02/1992;103.76;;;
13/02/1992;102.86;;;
14/02/1992;103.67;;;
17/02/1992;103.67;;;
18/02/1992;104.39;;;
19/02/1992;103.24;;;
20/02/1992;103.62;;;
21/02/1992;103.4;;;
24/02/1992;103.39;;;
25/02/1992;102.67;;;
26/02/1992;103.55;;;
27/02/1992;104.02;;;
28/02/1992;104.12;;;
02/03/1992;103.32;;;
03/03/1992;103.64;;;
04/03/1992;103.61;;;
05/03/1992;102.5;;;
06/03/1992;102.19;;;
09/03/1992;101.71;;;
10/03/1992;102.33;;;
11/03/1992;102.36;;;
12/03/1992;102.06;;;
13/03/1992;102.1;;;
16/03/1992;102.06;;;
17/03/1992;101.96;;;
18/03/1992;101.9;;;
19/03/1992;101.76;;;
20/03/1992;102.04;;;
23/03/1992;101.77;;;
24/03/1992;101.15;;;
25/03/1992;100.64;;;
26/03/1992;100.27;;;
27/03/1992;99.22;;;
30/03/1992;98.91;;;
31/03/1992;99.11;;;
01/04/1992;97.97;;;
02/04/1992;97.34;;;
03/04/1992;96.61;;;
06/04/1992;95.86;;;
07/04/1992;93.62;;;
08/04/1992;93.34;;;
09/04/1992;95.34;;;
10/04/1992;96.93;;;
13/04/1992;97.97;;;
14/04/1992;99.22;;;
15/04/1992;99.15;;;
16/04/1992;99.49;;;
17/04/1992;99.49;;;
20/04/1992;98.56;;;
21/04/1992;99.23;;;
22/04/1992;99.75;;;
23/04/1992;99.28;;;
24/04/1992;98.78;;;
27/04/1992;98.67;;;
28/04/1992;98.46;;;
29/04/1992;98.26;;;
30/04/1992;98.93;;;
01/05/1992;99.16;;;
04/05/1992;99.88;;;
05/05/1992;99.48;;;
06/05/1992;100.01;;;
07/05/1992;101.18;;;
08/05/1992;101.57;;;
11/05/1992;101.8;;;
12/05/1992;101.16;;;
13/05/1992;101.38;;;
14/05/1992;101.01;;;
15/05/1992;99.95;;;
18/05/1992;100.8;;;
19/05/1992;101.05;;;
20/05/1992;101.66;;;
21/05/1992;101.38;;;
22/05/1992;101.61;;;
25/05/1992;101.61;;;
26/05/1992;100.96;;;
27/05/1992;101.54;;;
28/05/1992;101.53;;;
29/05/1992;101.65;;;
01/06/1992;102.33;;;
02/06/1992;102.88;;;
03/06/1992;102.89;;;
04/06/1992;102.3;;;
05/06/1992;102.42;;;
08/06/1992;101.37;;;
09/06/1992;100.81;;;
10/06/1992;100.44;;;
11/06/1992;100.57;;;
12/06/1992;100.45;;;
15/06/1992;100.38;;;
16/06/1992;100.4;;;
17/06/1992;99.4;;;
18/06/1992;99.55;;;
19/06/1992;99.83;;;
22/06/1992;98.77;;;
23/06/1992;98.59;;;
24/06/1992;99.02;;;
25/06/1992;98.59;;;
26/06/1992;97.94;;;
29/06/1992;99.14;;;
30/06/1992;99.05;;;
01/07/1992;99.17;;;
02/07/1992;98.33;;;
03/07/1992;98.33;;;
06/07/1992;99.65;;;
07/07/1992;98.67;;;
08/07/1992;98.11;;;
09/07/1992;97.11;;;
10/07/1992;97.22;;;
13/07/1992;97.44;;;
14/07/1992;97.76;;;
15/07/1992;97.06;;;
16/07/1992;97.05;;;
17/07/1992;97.28;;;
20/07/1992;97.04;;;
21/07/1992;97.74;;;
22/07/1992;97.71;;;
23/07/1992;97.98;;;
24/07/1992;98.16;;;
27/07/1992;98.84;;;
28/07/1992;99.31;;;
29/07/1992;99.88;;;
30/07/1992;100.42;;;
31/07/1992;100.42;;;
03/08/1992;100.07;;;
04/08/1992;99.4;;;
05/08/1992;99.15;;;
06/08/1992;99.43;;;
07/08/1992;99.31;;;
10/08/1992;99.73;;;
11/08/1992;99.13;;;
12/08/1992;98.82;;;
13/08/1992;99.06;;;
14/08/1992;98.81;;;
17/08/1992;98.24;;;
18/08/1992;98.21;;;
19/08/1992;97.68;;;
20/08/1992;97.54;;;
21/08/1992;97.8;;;
24/08/1992;97.24;;;
25/08/1992;96.77;;;
26/08/1992;97.18;;;
27/08/1992;97.38;;;
28/08/1992;97.07;;;
31/08/1992;96.46;;;
01/09/1992;97;;;
02/09/1992;97.4;;;
03/09/1992;98.1;;;
04/09/1992;98.26;;;
07/09/1992;98.26;;;
08/09/1992;97.69;;;
09/09/1992;98.33;;;
10/09/1992;98.69;;;
11/09/1992;99;;;
14/09/1992;100.63;;;
15/09/1992;99.69;;;
16/09/1992;99.59;;;
17/09/1992;99.92;;;
18/09/1992;99.83;;;
21/09/1992;99.61;;;
22/09/1992;99.46;;;
23/09/1992;99.45;;;
24/09/1992;100.03;;;
25/09/1992;99.78;;;
28/09/1992;99.58;;;
29/09/1992;99.52;;;
30/09/1992;100.55;;;
01/10/1992;99.65;;;
02/10/1992;99.27;;;
05/10/1992;101.21;;;
06/10/1992;101.57;;;
07/10/1992;101.6;;;
08/10/1992;101.55;;;
09/10/1992;101.44;;;
12/10/1992;101.61;;;
13/10/1992;101.42;;;
14/10/1992;101.78;;;
15/10/1992;102.2;;;
16/10/1992;102.72;;;
19/10/1992;103.23;;;
20/10/1992;104.08;;;
21/10/1992;103.32;;;
22/10/1992;103.38;;;
23/10/1992;104.1;;;
26/10/1992;104.77;;;
27/10/1992;104.78;;;
28/10/1992;105.98;;;
29/10/1992;105.75;;;
30/10/1992;106.03;;;
02/11/1992;106.66;;;
03/11/1992;106.5;;;
04/11/1992;106.65;;;
05/11/1992;107.84;;;
06/11/1992;107.57;;;
09/11/1992;107.14;;;
10/11/1992;107.19;;;
11/11/1992;107.94;;;
12/11/1992;107.87;;;
13/11/1992;107.85;;;
16/11/1992;108.41;;;
17/11/1992;107.92;;;
18/11/1992;107.75;;;
19/11/1992;107.77;;;
20/11/1992;107.78;;;
23/11/1992;108.11;;;
24/11/1992;108.71;;;
25/11/1992;108.78;;;
26/11/1992;108.78;;;
27/11/1992;108.93;;;
30/11/1992;109.01;;;
01/12/1992;108.74;;;
02/12/1992;108.8;;;
03/12/1992;109.6;;;
04/12/1992;109.63;;;
07/12/1992;109.57;;;
08/12/1992;110.34;;;
09/12/1992;109.94;;;
10/12/1992;109.51;;;
11/12/1992;109.59;;;
14/12/1992;109.28;;;
15/12/1992;108.76;;;
16/12/1992;109.17;;;
17/12/1992;110.11;;;
18/12/1992;110.48;;;
21/12/1992;110.97;;;
22/12/1992;111.86;;;
23/12/1992;112.16;;;
24/12/1992;111.92;;;
25/12/1992;111.92;;;
28/12/1992;111.58;;;
29/12/1992;112.11;;;
30/12/1992;112.4;;;
31/12/1992;113.45;;;
01/01/1993;113.45;;;
04/01/1993;113.34;;;
05/01/1993;112.58;;;
06/01/1993;112.61;;;
07/01/1993;113.32;;;
08/01/1993;113.1;;;
11/01/1993;114.29;;;
12/01/1993;115.79;;;
13/01/1993;117.07;;;
14/01/1993;117.85;;;
15/01/1993;118.55;;;
18/01/1993;118.53;;;
19/01/1993;118.18;;;
20/01/1993;118.92;;;
21/01/1993;118.35;;;
22/01/1993;118.43;;;
25/01/1993;118.54;;;
26/01/1993;118.81;;;
27/01/1993;118.38;;;
28/01/1993;118.22;;;
29/01/1993;118.71;;;
01/02/1993;119.76;;;
02/02/1993;119.63;;;
03/02/1993;119.86;;;
04/02/1993;121.61;;;
05/02/1993;121.65;;;
08/02/1993;122.37;;;
09/02/1993;122.06;;;
10/02/1993;121.64;;;
11/02/1993;122.21;;;
12/02/1993;121.73;;;
15/02/1993;121.73;;;
16/02/1993;118.95;;;
17/02/1993;118.71;;;
18/02/1993;118.35;;;
19/02/1993;118.12;;;
22/02/1993;118.72;;;
23/02/1993;119.47;;;
24/02/1993;120.3;;;
25/02/1993;120.92;;;
26/02/1993;121.24;;;
01/03/1993;121.79;;;
02/03/1993;122.47;;;
03/03/1993;123.25;;;
04/03/1993;123.5;;;
05/03/1993;125.09;;;
08/03/1993;126.79;;;
09/03/1993;127.9;;;
10/03/1993;127.86;;;
11/03/1993;128.54;;;
12/03/1993;128.37;;;
15/03/1993;130.08;;;
16/03/1993;130.36;;;
17/03/1993;129.36;;;
18/03/1993;130.42;;;
19/03/1993;130.43;;;
22/03/1993;129.81;;;
23/03/1993;129.5;;;
24/03/1993;129.03;;;
25/03/1993;129.49;;;
26/03/1993;129.35;;;
29/03/1993;129.48;;;
30/03/1993;129.91;;;
31/03/1993;130.78;;;
01/04/1993;130.73;;;
02/04/1993;129.42;;;
05/04/1993;128.64;;;
06/04/1993;127.55;;;
07/04/1993;128.36;;;
08/04/1993;127.82;;;
09/04/1993;127.82;;;
12/04/1993;128.66;;;
13/04/1993;128.78;;;
14/04/1993;129.01;;;
15/04/1993;128.91;;;
16/04/1993;129.33;;;
19/04/1993;128.69;;;
20/04/1993;127.89;;;
21/04/1993;127.82;;;
22/04/1993;127.01;;;
23/04/1993;126.69;;;
26/04/1993;125.2;;;
27/04/1993;124.7;;;
28/04/1993;124.31;;;
29/04/1993;124.47;;;
30/04/1993;125.46;;;
03/05/1993;125.37;;;
04/05/1993;126;;;
05/05/1993;127.04;;;
06/05/1993;126.94;;;
07/05/1993;125.92;;;
10/05/1993;126.09;;;
11/05/1993;125.96;;;
12/05/1993;126.54;;;
13/05/1993;126.19;;;
14/05/1993;126.2;;;
17/05/1993;125.77;;;
18/05/1993;126.17;;;
19/05/1993;126.07;;;
20/05/1993;126.45;;;
21/05/1993;125.23;;;
24/05/1993;125.65;;;
25/05/1993;125.13;;;
26/05/1993;125.49;;;
27/05/1993;125.57;;;
28/05/1993;126.07;;;
31/05/1993;126.07;;;
01/06/1993;125.94;;;
02/06/1993;125.79;;;
03/06/1993;125.8;;;
04/06/1993;125;;;
07/06/1993;124.83;;;
08/06/1993;124.32;;;
09/06/1993;124.73;;;
10/06/1993;124.9;;;
11/06/1993;125.26;;;
14/06/1993;125.5;;;
15/06/1993;125.93;;;
16/06/1993;126.53;;;
17/06/1993;126.66;;;
18/06/1993;126.4;;;
21/06/1993;126.39;;;
22/06/1993;125.8;;;
23/06/1993;125.01;;;
24/06/1993;125.22;;;
25/06/1993;125.38;;;
28/06/1993;125.87;;;
29/06/1993;125.65;;;
30/06/1993;126.87;;;
01/07/1993;127.11;;;
02/07/1993;126.87;;;
05/07/1993;126.87;;;
06/07/1993;127.03;;;
07/07/1993;127.28;;;
08/07/1993;127.14;;;
09/07/1993;129.25;;;
12/07/1993;129.34;;;
13/07/1993;129.51;;;
14/07/1993;130.66;;;
15/07/1993;131.22;;;
16/07/1993;130.98;;;
19/07/1993;130.85;;;
20/07/1993;130.03;;;
21/07/1993;129.74;;;
22/07/1993;129.16;;;
23/07/1993;129.21;;;
26/07/1993;128.77;;;
27/07/1993;129.13;;;
28/07/1993;129.54;;;
29/07/1993;130.37;;;
30/07/1993;130.01;;;
02/08/1993;129.98;;;
03/08/1993;130.12;;;
04/08/1993;130.85;;;
05/08/1993;129.98;;;
06/08/1993;130.41;;;
09/08/1993;130.24;;;
10/08/1993;130.54;;;
11/08/1993;130.67;;;
12/08/1993;130.02;;;
13/08/1993;130.97;;;
16/08/1993;132.01;;;
17/08/1993;131.94;;;
18/08/1993;132.41;;;
19/08/1993;131.78;;;
20/08/1993;132.73;;;
23/08/1993;133.9;;;
24/08/1993;134.18;;;
25/08/1993;133.98;;;
26/08/1993;134.63;;;
27/08/1993;134.89;;;
30/08/1993;135.28;;;
31/08/1993;135.97;;;
01/09/1993;136.37;;;
02/09/1993;137.6;;;
03/09/1993;137.89;;;
06/09/1993;137.89;;;
07/09/1993;136.9;;;
