date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2021-11-17 11:46:00,10.45,10.45,10.45,10.45,1,1,1,100.0,100.0,100.0,100.0,1,1,1,60.34,60.43,60.24,60.25,182,1,182,46.7,47.2,46.7,46.7,32,1,32,9.33,9.33,9.33,9.33,2,1,2
2021-11-17 11:49:00,10.45,10.45,10.45,10.45,1,1,1,100.0,100.0,100.0,100.0,2,1,2,60.25,60.25,60.15,60.19,192,1,192,47.49,47.49,46.0,46.0,7,1,7,9.33,9.33,9.33,9.33,1,1,1
2021-11-17 11:54:00,10.1,10.1,10.1,10.1,1,1,10,100.0,100.0,100.0,100.0,1,1,1,60.19,60.2,60.16,60.2,65,1,65,45.1,45.1,45.1,45.1,8,1,8,9.33,9.33,9.33,9.33,1,1,1
2021-11-17 12:52:00,11.91,11.91,11.91,11.91,4,1,97,100.0,100.0,100.0,100.0,1,1,1,60.2,60.35,60.2,60.35,75,1,75,46.24,46.24,46.24,46.24,1,1,1,9.3,9.3,9.3,9.3,1,1,1
2021-11-17 13:10:00,10.09,10.09,10.09,10.09,6,1,405,100.0,100.0,100.0,100.0,1,1,1,60.33,60.44,60.31,60.42,123,1,123,46.69,46.69,46.0,46.0,3,1,3,9.28,9.28,9.28,9.28,1,1,1
2021-11-17 13:14:00,10.02,10.02,10.02,10.02,1,1,416,101.38,101.38,101.38,101.38,1,1,1,60.44,60.48,60.4,60.42,70,1,70,45.25,45.25,45.25,45.25,8,1,8,9.0,9.0,9.0,9.0,1,1,1
2021-11-17 13:38:00,10.03,10.03,10.03,10.03,1,1,2,102.33,102.33,102.33,102.33,1,1,1,60.42,60.48,60.41,60.47,84,1,84,45.62,46.0,45.62,46.0,2,1,2,9.05,9.05,9.05,9.05,1,1,1
2021-11-17 14:43:00,10.0,10.0,10.0,10.0,1,1,100,102.03,102.03,102.03,102.03,1,1,1,60.47,60.47,60.37,60.42,98,1,98,45.86,46.0,45.86,46.0,2,1,2,9.05,9.05,9.05,9.05,1,1,1
2021-11-17 15:50:00,10.01,10.01,10.01,10.01,1,1,200,102.45,102.45,102.45,102.45,1,1,1,60.42,60.43,60.38,60.43,49,1,49,46.05,46.45,46.05,46.45,3,1,3,9.1,9.1,9.1,9.1,1,1,1
2021-11-17 16:01:00,10.06,10.06,10.06,10.06,1,1,39,102.91,102.91,102.91,102.91,1,1,1,60.43,60.43,60.35,60.42,91,1,91,46.05,46.05,46.05,46.05,1,1,1,9.1,9.1,9.1,9.1,1,1,1
2021-11-17 16:34:00,10.04,10.04,10.04,10.04,1,1,25,103.23,103.23,103.23,103.23,1,1,1,60.41,60.55,60.41,60.45,113,1,113,46.45,46.45,46.45,46.45,2,1,2,9.1,9.1,9.1,9.1,3,1,3
2021-11-17 16:39:00,10.04,10.04,10.04,10.04,1,1,13,103.48,103.48,103.48,103.48,1,1,1,60.53,60.6,60.35,60.36,114,1,114,46.45,46.45,46.45,46.45,2,1,2,9.0,9.0,9.0,9.0,23,1,23
2021-11-17 17:09:00,10.04,10.04,10.04,10.04,1,1,1,104.1,104.1,104.1,104.1,1,1,1,60.35,60.37,60.33,60.36,78,1,78,46.25,46.25,46.2,46.2,2,1,2,9.05,9.05,9.05,9.05,1,1,1
2021-11-17 17:45:00,9.96,10.03,9.96,10.03,6,1,200397,104.1,104.1,104.1,104.1,1,1,1,60.35,60.35,60.27,60.27,108,1,108,46.2,46.2,46.2,46.2,1,1,1,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 10:14:00,10.48,10.48,10.48,10.48,2,1,9,104.06,104.06,104.06,104.06,2,1,2,60.31,60.35,60.28,60.33,72,1,72,46.2,46.45,46.2,46.45,2,1,2,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 10:16:00,10.48,10.48,10.48,10.48,1,1,100,104.02,104.02,104.02,104.02,1,1,1,60.3,60.32,60.2,60.25,68,1,68,46.45,46.45,46.45,46.45,1,1,1,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 11:01:00,10.5,10.5,10.5,10.5,1,1,1,103.96,103.96,103.96,103.96,1,1,1,60.2,60.27,60.17,60.21,44,1,44,46.52,46.52,46.52,46.52,1,1,1,9.0,9.1,9.0,9.1,5,1,5
2021-11-18 11:08:00,10.7,10.7,10.7,10.7,1,1,1,103.88,103.88,103.88,103.88,1,1,1,60.21,60.26,60.2,60.26,96,1,96,46.52,47.0,46.52,47.0,5,1,5,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 11:11:00,10.7,10.7,10.7,10.7,1,1,1,103.98,103.98,103.98,103.98,1,1,1,60.26,60.26,60.2,60.23,65,1,65,46.8,47.0,46.8,47.0,3,1,3,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 11:45:00,10.25,10.25,10.1,10.1,2,1,15,104.0,104.0,104.0,104.0,1,1,1,60.25,60.26,60.22,60.24,57,1,57,46.55,46.69,46.55,46.69,2,1,2,9.0,9.0,9.0,9.0,2,1,2
2021-11-18 11:46:00,10.11,10.11,10.11,10.11,1,1,112,104.32,104.32,104.32,104.32,1,1,1,60.24,60.25,60.23,60.25,37,1,37,46.55,46.55,46.5,46.5,4,1,4,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 11:48:00,10.11,10.11,10.11,10.11,1,1,100,104.18,104.18,104.18,104.18,1,1,1,60.25,60.29,60.21,60.25,60,1,60,46.69,46.9,46.69,46.9,3,1,3,9.0,9.0,9.0,9.0,1,1,1
2021-11-18 11:56:00,10.09,10.09,10.09,10.09,1,1,2,104.19,104.19,104.19,104.19,1,1,1,60.25,60.26,60.25,60.26,50,1,50,46.7,47.0,46.46,47.0,4,1,4,8.98,9.0,8.98,9.0,5,1,5
