date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-07-19 10:27:00,10.0,10.0,10.0,10.0,27,1,5000,10.45,10.45,10.45,10.45,6.0,1.0,6.0,47.8,47.8,47.5,47.5,33.0,1.0,33.0,287.83,287.85,287.7,287.85,8,1,8,10.1,10.1,10.1,10.1,1.0,1.0,1.0
2021-07-19 10:33:00,9.84,9.84,9.84,9.84,19,1,10000,10.91,10.91,10.91,10.91,4.0,1.0,4.0,47.12,47.12,46.2,46.21,7.0,1.0,7.0,287.91,287.93,287.83,287.83,15,1,15,12.0,12.0,12.0,12.0,5.0,1.0,5.0
2021-07-19 10:39:00,10.0,10.0,10.0,10.0,102,1,1226,11.0,11.0,11.0,11.0,1.0,1.0,1.0,46.24,46.25,46.23,46.23,4.0,1.0,4.0,287.7,287.7,287.59,287.69,7,1,7,12.0,12.0,12.0,12.0,1.0,1.0,1.0
2021-07-19 10:41:00,10.0,10.0,10.0,10.0,2,1,15,11.0,11.0,11.0,11.0,1.0,1.0,1.0,46.2,46.23,46.2,46.23,2.0,1.0,2.0,287.78,287.81,287.78,287.81,3,1,3,12.0,12.0,12.0,12.0,1.0,1.0,1.0
2021-07-19 10:42:00,10.0,10.0,10.0,10.0,1,1,9,12.42,12.42,12.42,12.42,6.0,1.0,6.0,46.24,46.24,46.24,46.24,1.0,1.0,1.0,287.81,287.81,287.5,287.5,14,1,14,12.0,12.28,12.0,12.28,2.0,1.0,2.0
2021-07-19 10:43:00,10.0,10.0,10.0,10.0,1,1,161,13.0,13.0,13.0,13.0,6.0,1.0,6.0,46.24,46.24,46.24,46.24,1.0,1.0,1.0,287.5,287.62,287.47,287.62,7,1,7,12.28,12.28,12.28,12.28,1.0,1.0,1.0
2021-07-19 10:45:00,10.0,10.0,10.0,10.0,1,1,10,16.0,16.0,16.0,16.0,15.0,1.0,15.0,46.14,46.14,46.09,46.09,4.0,1.0,4.0,287.64,287.79,287.5,287.5,33,1,33,12.28,12.28,12.28,12.28,1.0,1.0,1.0
2021-07-19 10:47:00,10.0,10.0,10.0,10.0,1,1,200,18.25,18.25,18.25,18.25,12.0,1.0,12.0,46.25,46.25,46.25,46.25,1.0,1.0,1.0,287.55,287.55,287.44,287.53,12,1,12,11.0,11.0,11.0,11.0,9.0,1.0,9.0
2021-07-19 10:48:00,9.95,9.95,9.9,9.9,2,1,51,18.24,18.24,18.24,18.24,1.0,1.0,1.0,46.19,46.19,46.19,46.19,1.0,1.0,1.0,287.53,287.53,287.3,287.38,9,1,9,11.8,11.8,11.8,11.8,1.0,1.0,1.0
2021-07-19 10:49:00,9.89,9.89,9.89,9.89,1,1,99,14.0,14.0,13.83,13.83,38.0,1.0,38.0,46.2,46.2,46.2,46.2,1.0,1.0,1.0,287.35,287.47,287.35,287.4,18,1,18,11.0,11.0,11.0,11.0,2.0,1.0,2.0
2021-07-19 10:50:00,9.89,9.89,9.89,9.89,1,1,4,14.0,14.0,14.0,14.0,7.0,1.0,7.0,46.2,46.2,46.2,46.2,1.0,1.0,1.0,287.3,287.44,287.3,287.44,7,1,7,11.99,11.99,11.99,11.99,1.0,1.0,1.0
2021-07-19 10:51:00,9.88,9.88,9.88,9.88,1,1,1,13.99,14.0,13.99,14.0,2.0,1.0,2.0,46.2,46.2,46.2,46.2,1.0,1.0,1.0,287.42,287.42,287.3,287.33,12,1,12,11.99,11.99,11.99,11.99,1.0,1.0,1.0
2021-07-19 10:54:00,9.85,9.85,9.85,9.85,1,1,99,14.0,14.0,13.72,13.72,6.0,1.0,6.0,46.26,46.26,46.26,46.26,1.0,1.0,1.0,287.33,287.33,287.25,287.3,7,1,7,11.99,11.99,11.99,11.99,1.0,1.0,1.0
2021-07-19 10:55:00,9.85,9.85,9.85,9.85,3,1,1490,13.0,13.0,13.0,13.0,16.0,1.0,16.0,46.26,46.26,46.26,46.26,1.0,1.0,1.0,287.3,287.3,287.15,287.15,5,1,5,11.7,11.7,11.7,11.7,1.0,1.0,1.0
2021-07-19 10:56:00,9.85,9.85,9.85,9.85,1,1,15,12.5,12.5,12.42,12.42,10.0,1.0,10.0,46.23,46.23,46.22,46.23,5.0,1.0,5.0,287.22,287.25,287.16,287.25,9,1,9,11.6,11.6,11.6,11.6,1.0,1.0,1.0
2021-07-19 10:57:00,9.85,9.85,9.85,9.85,1,1,10,11.5,11.5,11.5,11.5,28.0,1.0,28.0,46.23,46.24,46.22,46.24,4.0,1.0,4.0,287.28,287.4,287.23,287.35,17,1,17,11.6,11.6,11.5,11.5,2.0,1.0,2.0
2021-07-19 11:01:00,9.85,9.85,9.85,9.85,1,1,2,11.68,11.68,11.68,11.68,14.0,1.0,14.0,46.23,46.23,46.23,46.23,1.0,1.0,1.0,287.41,287.43,287.35,287.35,10,1,10,11.75,11.75,11.75,11.75,1.0,1.0,1.0
