date;opening_price;adjustment;DI;
10/03/2022;5.37;85179.51;0.000161;
11/03/2022;5.30;85118.12;0.000161;.
12/03/2022;7.10;82195.24;0.000161;
13/03/2022;6.36;84664.80;0.000161;
16/03/2022;5.81;85153.99;0.000161;
17/03/2022;5.93;86417.59;0.000161;
18/03/2022;5.92;82779.56;0.000161;
19/03/2022;7.02;82952.5;0.000142;
20/03/2022;6.58;83060.78;0.000142;
23/03/2022;7.6;80267.84;0.000142;
;;;;
;;;;
;;;;
