time,open,high,low,close,tick_volume,spread,real_volume,ticker
2017-11-30 09:00:00,3963.796,3987.571,3958.309,3983.913,47123,1,136770,WDO$
2017-11-30 10:00:00,3984.523,3992.448,3979.646,3985.133,35210,1,110430,WDO$
2017-11-30 11:00:00,3985.133,4004.031,3983.913,3990.01,41156,1,128391,WDO$
2017-11-30 12:00:00,3990.01,3995.496,3980.256,3984.523,28034,1,99693,WDO$
2017-11-30 13:00:00,3984.523,4000.373,3982.084,3997.935,34128,1,135666,WDO$
2017-11-30 14:00:00,3998.544,4021.101,3990.619,4016.224,35174,1,140651,WDO$
2017-11-30 15:00:00,4015.004,4016.224,4004.031,4008.908,19022,1,64046,WDO$
2017-11-30 16:00:00,4008.908,4010.737,3996.716,3999.764,15977,1,55173,WDO$
2017-11-30 17:00:00,3999.764,4002.202,3994.277,3996.106,7257,1,29082,WDO$
2017-11-30 18:00:00,3996.716,4005.25,3995.496,4001.593,1714,1,6475,WDO$
2017-12-01 09:00:00,4008.298,4017.443,3995.496,3996.106,41793,1,127221,WDO$
2017-12-01 10:00:00,3996.106,4005.25,3993.667,3994.277,31293,1,98438,WDO$
2017-12-01 11:00:00,3994.887,3996.106,3979.036,3980.256,36859,1,121322,WDO$
2017-12-01 12:00:00,3980.256,3991.229,3978.427,3989.4,20458,1,72307,WDO$
2017-12-01 13:00:00,3989.4,3990.619,3977.817,3985.742,24306,1,98591,WDO$
2017-12-01 14:00:00,3985.133,3988.181,3972.33,3983.913,50026,1,190228,WDO$
2017-12-01 15:00:00,3983.913,3988.181,3973.55,3977.817,22489,1,84690,WDO$
2017-12-01 16:00:00,3978.427,3985.742,3976.598,3980.256,8836,1,32859,WDO$
2017-12-01 17:00:00,3980.256,3983.913,3977.207,3983.304,5241,1,20332,WDO$
2017-12-01 18:00:00,3983.913,3983.913,3980.256,3983.304,825,1,3210,WDO$
2017-12-04 09:00:00,3982.084,3988.181,3978.427,3979.036,25078,1,72895,WDO$
2017-12-04 10:00:00,3978.427,3985.133,3976.598,3978.427,22975,1,69671,WDO$
2017-12-04 11:00:00,3978.427,3979.646,3965.015,3965.015,29446,1,92729,WDO$
2017-12-04 12:00:00,3965.625,3973.55,3965.015,3971.721,19036,1,70214,WDO$
2017-12-04 13:00:00,3971.721,3974.769,3967.453,3971.721,16758,1,61088,WDO$
2017-12-04 14:00:00,3971.721,3975.379,3968.063,3971.721,15607,1,58151,WDO$
2017-12-04 15:00:00,3972.33,3975.379,3963.186,3965.015,14948,1,58617,WDO$
2017-12-04 16:00:00,3965.015,3970.502,3963.796,3968.673,7776,1,29488,WDO$
2017-12-04 17:00:00,3968.063,3969.282,3965.015,3966.844,5407,1,21507,WDO$
2017-12-04 18:00:00,3966.844,3967.453,3963.186,3965.015,1107,1,3935,WDO$
2017-12-05 09:00:00,3967.453,3968.673,3957.09,3960.748,28051,1,85452,WDO$
2017-12-05 10:00:00,3961.357,3961.357,3940.63,3943.678,40076,1,132543,WDO$
2017-12-05 11:00:00,3943.678,3946.116,3936.362,3943.678,34548,1,122690,WDO$
2017-12-05 12:00:00,3943.068,3955.87,3940.63,3955.87,20861,1,72816,WDO$
2017-12-05 13:00:00,3955.87,3961.357,3949.165,3952.213,21943,1,89013,WDO$
2017-12-05 14:00:00,3952.213,3958.309,3949.165,3954.042,18006,1,74996,WDO$
2017-12-05 15:00:00,3953.432,3955.87,3944.897,3955.261,18069,1,74035,WDO$
2017-12-05 16:00:00,3954.651,3955.261,3947.336,3952.213,10661,1,42435,WDO$
2017-12-05 17:00:00,3952.213,3965.625,3950.993,3964.405,9172,1,37541,WDO$
2017-12-05 18:00:00,3964.405,3964.405,3960.748,3961.967,910,1,3404,WDO$
2017-12-06 09:00:00,3966.844,3971.111,3957.09,3963.796,33055,1,101034,WDO$
2017-12-06 10:00:00,3963.186,3966.844,3946.116,3948.555,36147,1,121562,WDO$
2017-12-06 11:00:00,3947.945,3954.042,3941.849,3948.555,28960,1,99735,WDO$
2017-12-06 12:00:00,3948.555,3955.261,3944.897,3953.432,21329,1,78843,WDO$
2017-12-06 13:00:00,3954.042,3958.919,3949.774,3955.261,16569,1,72939,WDO$
2017-12-06 14:00:00,3954.651,3961.357,3952.822,3959.528,13572,1,54379,WDO$
2017-12-06 15:00:00,3960.138,3965.625,3957.09,3962.576,16325,1,65854,WDO$
2017-12-06 16:00:00,3962.576,3964.405,3944.897,3947.945,14868,1,56716,WDO$
2017-12-06 17:00:00,3947.945,3955.261,3946.116,3954.042,9508,1,39998,WDO$
2017-12-06 18:00:00,3954.042,3955.261,3950.993,3954.651,1004,1,4285,WDO$
2017-12-07 09:00:00,3968.673,4013.175,3968.673,4002.202,69791,1,236949,WDO$
2017-12-07 10:00:00,4001.593,4022.929,4000.373,4018.662,39728,1,134042,WDO$
2017-12-07 11:00:00,4018.052,4029.635,4011.956,4021.101,40363,1,144973,WDO$
2017-12-07 12:00:00,4021.101,4055.849,4019.881,4034.512,47424,1,200490,WDO$
