ticker;date_4t22
ROMI;31/01/2023
CIEL;01/02/2023
SANB;02/02/2023
CRFB;07/02/2023
PINE;07/02/2023
BLAU;07/02/2023
ITUB;07/02/2023
MODL;08/02/2023
BPAN;08/02/2023
KLBN;08/02/2023
TTEN;09/02/2023
ALPA;09/02/2023
BBSE;09/02/2023
BRPR;09/02/2023
BBDC;09/02/2023
MULT;09/02/2023
PSSA;09/02/2023
TIMP;09/02/2023
TIMS;09/02/2023
ABCB;10/02/2023
USIM;10/02/2023
BBAS;13/02/2023
BPAC;13/02/2023
JALL;13/02/2023
SMTO;13/02/2023
BMGB;14/02/2023
ETER;14/02/2023
MOVI;14/02/2023
TOTS;14/02/2023
VAMO;14/02/2023
ASAI;15/02/2023
B3SA;15/02/2023
BRSR;15/02/2023
CCRO;15/02/2023
NEOE;15/02/2023
RAIL;15/02/2023
UGPA;15/02/2023
VIVT;15/02/2023
WEGE;15/02/2023
AZUL;16/02/2023
CESP;16/02/2023
EGIE;16/02/2023
HYPE;16/02/2023
IRBR;16/02/2023
MILS;16/02/2023
LREN;16/02/2023
SAPR;16/02/2023
VALE;16/02/2023
JSLG;22/02/2023
PCAR;23/02/2023
RANI;24/02/2023
AESB;27/02/2023
ENBR;27/02/2023
FRAS;27/02/2023
INTB;27/02/2023
TRPL;27/02/2023
BRFS;28/02/2023
IGTA;28/02/2023
POMO;28/02/2023
RAPT;28/02/2023
SULA;28/02/2023
SUZB;28/02/2023
BLAU;01/03/2023
CEAB;01/03/2023
ENAT;01/03/2023
GGBR;01/03/2023
GOAU;01/03/2023
LVTC;01/03/2023
MRFG;01/03/2023
BEEF;01/03/2023
ODPV;01/03/2023
PETR;01/03/2023
PRIO;01/03/2023
VULC;01/03/2023
ALUP;02/03/2023
ABEV;02/03/2023
CXSE;02/03/2023
GOLL;02/03/2023
GGPS;02/03/2023
GRND;02/03/2023
OFSA;02/03/2023
LUPA;03/03/2023
FESA;06/03/2023
PGMN;06/03/2023
RADL;07/03/2023
RRRP;08/03/2023
ARZZ;08/03/2023
BRKM;08/03/2023
CSNA;08/03/2023
CMIN;08/03/2023
ALPK;08/03/2023
GMAT;08/03/2023
MYPK;08/03/2023
KEPL;08/03/2023
LAVV;08/03/2023
LOGG;08/03/2023
LOGN;08/03/2023
MDNE;08/03/2023
MRVE;08/03/2023
PETZ;08/03/2023
RDNI;08/03/2023
SCAR;08/03/2023
SLCE;08/03/2023
VLID;08/03/2023
CBAV;09/03/2023
TEND;09/03/2023
JHSF;09/03/2023
LJQQ;09/03/2023
MGLU;09/03/2023
OPCT;09/03/2023
SQIA;09/03/2023
TGMA;09/03/2023
UCAS;09/03/2023
VVEO;09/03/2023
DIRR;13/03/2023
ELET;13/03/2023
LEVE;13/03/2023
NTCO;13/03/2023
TECN;13/03/2023
CURY;14/03/2023
CVCB;14/03/2023
ENJU;14/03/2023
CASH;14/03/2023
NGRD;14/03/2023
RAIZ;14/03/2023
TRAD;14/03/2023
DMVF;15/03/2023
EQTL;15/03/2023
MATD;15/03/2023
MTRE;15/03/2023
PFRM;15/03/2023
AMAR;15/03/2023
RSID;15/03/2023
TAEE;15/03/2023
VIIA;15/03/2023
YDUQ;15/03/2023
BMOB;16/03/2023
CMIG;16/03/2023
CPFE;16/03/2023
CYRE;16/03/2023
ECOR;16/03/2023
ENGI;16/03/2023
EZTC;16/03/2023
FLRY;16/03/2023
IFCM;16/03/2023
LIGT;16/03/2023
PLPL;16/03/2023
PRNR;16/03/2023
SMFT;16/03/2023
SHOW;16/03/2023
TFCO;16/03/2023
TRIS;16/03/2023
TPIS;16/03/2023
VITT;16/03/2023
VIVA;16/03/2023
WIZS;16/03/2023
CLSC;17/03/2023
CNSY;17/03/2023
MDIA;17/03/2023
PMAM;17/03/2023
BRIT;20/03/2023
ITSA;20/03/2023
SIMH;20/03/2023
ALLD;21/03/2023
CPLE;21/03/2023
HBSA;21/03/2023
JBSS;21/03/2023
POSI;21/03/2023
STBP;21/03/2023
TASA;21/03/2023
WEST;21/03/2023
BOAS;22/03/2023
RECV;22/03/2023
SEQL;22/03/2023
FIQE;22/03/2023
ALSO;23/03/2023
ARML;23/03/2023
BRML;23/03/2023
COGN;23/03/2023
PNVL;23/03/2023
ENEV;23/03/2023
EUCA;23/03/2023
EVEN;23/03/2023
HBRE;23/03/2023
LWSA;23/03/2023
OIBR;23/03/2023
SBSP;23/03/2023
TCSA;23/03/2023
VIVR;23/03/2023
ATMP;24/03/2023
MSRO;24/03/2023
FRIO;24/03/2023
PDGR;24/03/2023
SEER;24/03/2023
ANIM;27/03/2023
SOJA;27/03/2023
BRAP;27/03/2023
CLSA;27/03/2023
DOTZ;27/03/2023
ESPA;27/03/2023
NINJ;27/03/2023
INNT;27/03/2023
LPSB;27/03/2023
FRTA;27/03/2023
RDOR;27/03/2023
SLED;27/03/2023
TUPY;27/03/2023
AMBP;28/03/2023
BIOM;28/03/2023
CSMG;28/03/2023
CSED;28/03/2023
ELMD;28/03/2023
FHER;28/03/2023
GFSA;28/03/2023
GSHP;28/03/2023
HBOR;28/03/2023
PARD;28/03/2023
IGSN;28/03/2023
MEAL;28/03/2023
KRSA;28/03/2023
MLAS;28/03/2023
NUTR;28/03/2023
ONCO;28/03/2023
OSXB;28/03/2023
QUAL;28/03/2023
RNEW;28/03/2023
SGPS;28/03/2023
AGXY;29/03/2023
AMER;29/03/2023
BAHI;29/03/2023
DESK;29/03/2023
LAME;29/03/2023
MBLY;29/03/2023
ORVR;29/03/2023
LLIS;29/03/2023
QUSW;30/03/2023
DMMO;31/03/2023
FLEX;31/03/2023
